MSN	1352	1348
NONO	2834	3150
RPS4X	9198	11468
PGK1	3294	2043
NGFRAP1	1563	2011
MORF4L2	2813	3864
ACSL4	1953	1114
PGRMC1	2192	1495
RPL39	1103	1613
STAG2	1988	1848
RBMX	3416	3544
HMGB3	2821	1411
VMA21	1125	1406
FLNA	5521	3914
RPL10	3459	3893
FDFT1	3278	3198
DPYSL2	3147	7669
CLU	1481	2289
PRKDC	2908	2824
RPS20	3809	4202
RPL7	3705	6024
LAPTM4B	3834	1590
RPL30	1394	1846
PABPC1	1883	2161
YWHAZ	4694	5778
UBR5	1694	1105
AZIN1	4281	2447
EIF3E	2954	3143
RAD21	1782	2555
SQLE	1693	1771
RPL8	4215	3680
PSIP1	1386	1184
RPS6	7680	8205
DNAJA1	1113	1680
VCP	4112	2225
RMRP	46854	48406
PSAT1	3094	1170
HNRNPK	4577	3979
IARS	3290	1409
RAD23B	1461	1412
RPL35	2586	2514
RPL12	4003	4302
SET	7220	4009
EEF1A1P5	1979	2195
RPL7A	4675	7286
TUBB4B	1162	1392
GDI2	3514	3064
VIM	1612	11213
ARL5B	1275	1372
ITGB1	1637	1331
NCOA4	1175	1418
EIF4EBP2	1435	1309
PSAP	2602	4508
RPS24	3876	6072
GLUD1	1100	1400
TM9SF3	1091	1268
SCD	5085	3755
EIF3A	1591	1329
INPP5F	1440	1477
RPLP2	2568	2825
RRM1	1053	1179
EIF3F	1154	1871
RPL27A	3555	2952
IPO7	2248	1739
EIF4G2	5824	5899
RPS13	2385	2168
CAPRIN1	2367	3085
CELF1	1092	1103
SSRP1	1181	1082
CTNND1	1347	1180
DDB1	2548	2612
FADS2	3778	2005
FADS1	1355	1828
GANAB	1449	1266
FAU	1334	1259
CFL1	3473	3328
GSTP1	3964	1322
RPS3	4973	4641
PAFAH1B2	2131	1531
DDX6	1657	2466
RPS25	2204	2481
HYOU1	1514	1120
HSPA8	21329	8200
APLP2	1553	1663
CCND2	1733	1342
GAPDH	10180	8437
CHD4	1305	3200
TPI1	4520	2051
PHB2	1515	1211
SLC2A3	4339	1422
STRAP	1628	1142
LDHB	6113	4831
BCAT1	3088	2122
FAM60A	3565	1536
TUBA1B	3319	3462
TUBA1A	6908	45756
TMBIM6	3953	3799
EIF4B	4030	4048
CBX5	2612	4713
HNRNPA1	5007	7661
RPL41	1997	1893
MYL6	3327	2375
ATP5B	5591	4069
PTGES3	2448	1472
NACA	2422	4940
XPOT	2133	1069
CAND1	2706	2612
MDM2	1179	1315
CCT2	3260	1829
NAP1L1	3814	5017
TMPO	1518	1630
SLC25A3	3131	2794
HSP90B1	2659	2915
ATP2A2	2122	1743
RPL6	3037	7060
PEBP1	1969	1912
RPS2P5	1123	1114
RPLP0	12897	10623
UBC	2010	4025
RAN	5282	2543
SACS	1172	2015
RPL21	2381	3020
HMGB1	2113	2060
TPT1	4031	3696
IPO5	4374	3354
RPPH1	47567	58443
HNRNPC	5390	5021
SUPT16H	1536	1627
SALL2	1788	1274
HECTD1	1243	1324
RPS29	2141	1746
RN7SL1	70523	96035
RN7SL2	47910	75618
HIF1A	1798	1161
TMED10	1508	1622
CALM1	1919	3266
DYNC1H1	1359	4143
HSP90AA1	3103	3401
EIF5	1450	1355
SNHG14	4448	1159
OIP5-AS1	1177	1327
PDIA3	1967	1485
